order_date,abn,respb_scene,respb_scene_name,actualcnt,cnt,ratio_payed
2016/12/1,abn1,_汇总,_汇总,22823,0.418151624,0.418151624
2016/12/2,abn1,_汇总,_汇总,23476,0.445320737,0.445320737
2016/12/3,abn1,_汇总,_汇总,22864,0.39210138,0.39210138
2016/12/4,abn1,_汇总,_汇总,22432,0.374216684,0.374216684
2016/12/5,abn1,_汇总,_汇总,19776,0.368239973,0.368239973
2016/12/6,abn1,_汇总,_汇总,20325,0.370872368,0.370872368
2016/12/7,abn1,_汇总,_汇总,20897,0.377201553,0.377201553
2016/12/8,abn1,_汇总,_汇总,22328,0.391748782,0.391748782
2016/12/9,abn1,_汇总,_汇总,22164,0.380669597,0.380669597
2016/12/10,abn1,_汇总,_汇总,25609,0.393558301,0.393558301
2016/12/11,abn1,_汇总,_汇总,25381,0.379837045,0.379837045
2016/12/12,abn1,_汇总,_汇总,27604,0.431634,0.431634
2016/12/13,abn1,_汇总,_汇总,30475,0.478923365,0.478923365
2016/12/14,abn1,_汇总,_汇总,25442,0.405682424,0.405682424
2016/12/15,abn1,_汇总,_汇总,25446,0.407704503,0.407704503
2016/12/16,abn1,_汇总,_汇总,24957,0.395155908,0.395155908
2016/12/17,abn1,_汇总,_汇总,25760,0.383743802,0.383743802
2016/12/18,abn1,_汇总,_汇总,24532,0.36107624,0.36107624
2016/12/19,abn1,_汇总,_汇总,23750,0.382191824,0.382191824
2016/12/20,abn1,_汇总,_汇总,28647,0.431411491,0.431411491
2016/12/21,abn1,_汇总,_汇总,54520,0.80967367,0.80967367
2016/12/22,abn1,_汇总,_汇总,26399,0.404173309,0.404173309
2016/12/23,abn1,_汇总,_汇总,27628,0.424072288,0.424072288
2016/12/24,abn1,_汇总,_汇总,43386,0.595262759,0.595262759
2016/12/25,abn1,_汇总,_汇总,55425,0.709787148,0.709787148
2016/12/26,abn1,_汇总,_汇总,42853,0.604290657,0.604290657
2016/12/27,abn1,_汇总,_汇总,35051,0.499565227,0.499565227
2016/12/28,abn1,_汇总,_汇总,33379,0.477157099,0.477157099
2016/12/29,abn1,_汇总,_汇总,32313,0.460564987,0.460564987
2016/12/30,abn1,_汇总,_汇总,31145,0.454606627,0.454606627
2016/12/31,abn1,_汇总,_汇总,31697,0.483806221,0.483806221
2017/1/1,abn1,_汇总,_汇总,33486,0.529519201,0.529519201
2017/1/2,abn1,_汇总,_汇总,28782,0.424847826,0.424847826
2017/1/3,abn1,_汇总,_汇总,28514,0.434561426,0.434561426
2017/1/4,abn1,_汇总,_汇总,30582,0.451454673,0.451454673
2017/1/5,abn1,_汇总,_汇总,45157,0.625504551,0.625504551
2017/1/6,abn1,_汇总,_汇总,38021,0.550325526,0.550325526
2017/1/7,abn1,_汇总,_汇总,48966,0.659645234,0.659645234
