order_date,abn,respb_scene,respb_scene_name,actualcnt,cnt,ratio_payed
2016-12-01,abn1,1-2-10,商户确认订单后，运力接单前__运单退回后商户选择自配送系统自动取消,4,0.01752618,7.3286E-05
2016-12-01,abn1,1-2-5,商户确认订单后，运力接单前__自配送超时用户取消,553,2.422994348,0.01013179
2016-12-01,abn1,1-2-61,商户确认订单后，运力接单前__（专送）运单被退回（非商户）取消订单,2416,10.58581256,0.044264747
2016-12-01,abn1,1-3-4,运力接单后，取餐前__商户取消运单,3,0.013144635,5.49645E-05
2016-12-01,abn1,1-4-3,取餐后__专送超时未送达导致订单取消（T之外),1017,4.456031197,0.018632967
2016-12-01,abn1-ydnorm,1-2-1,商户确认订单后，运力接单前__T 之内取消,9,3.846153846,0.000164894
2016-12-01,abn3,3-1-2,商户确认订单前__商户拒单,13971,8.844364258,0.255969695
2016-12-01,abn3,3-2-1,商户确认订单后，运力接单前__用户取消,12690,8.033425126,0.232499852
2016-12-02,abn1,1-3-3,运力接单后，取餐前__商户取消订单,3582,15.25813597,0.067947644
2016-12-02,abn1,1-4-2,取餐后__骑手标记配送异常（用户原因）,2254,9.60129494,0.042756557
2016-12-02,abn3,3-1-1,商户确认订单前__商户未接单被系统取消,72977,47.41722112,1.384314679
2016-12-03,abn1,1-2-3,商户确认订单后，运力接单前__T 之内商户取消,439,1.920048985,0.007528539
2016-12-03,abn1,1-4-1,取餐后__T 之内用户取消,12,0.052484255,0.000205791
2016-12-03,abn3,3-1-0,商户确认订单前__商户确认前用户取消,33506,20.15932036,0.57460413
2016-12-04,abn1,1-2-2,商户确认订单后，运力接单前__超时呼单,171,0.762303852,0.002852668
2016-12-04,abn1,1-3-1,运力接单后，取餐前__用户取消,8239,36.72878031,0.137445224
2016-12-04,abn2,2-4-4,取餐后__配送完成，但被标欺诈,25425,35.44344383,0.424146719
2016-12-04,abn2,2-4-OTHER,取餐后__其他标品超时,24,0.033456938,0.000400374
2016-12-05,abn1,1-2-1,商户确认订单后，运力接单前__T 之内取消,3069,15.51881068,0.057146464
2016-12-05,abn1-ydnorm,1-4-7,取餐后__其他标品T 时间未送达导致订单取消,5,2.380952381,9.31027E-05
2016-12-05,abn2,2-4-3,取餐后__配送异常(用户原因),1394,2.185158479,0.025957045
2016-12-06,abn1,1-2-71,商户确认订单后，运力接单前__（快送）运单被退回（非商户）取消订单,60,0.295202952,0.001094826
2016-12-06,abn2,2-2-4,商户确认订单后，运力接单前__营业时间外运单退回商家自配送,3754,6.800231867,0.068499625
2016-12-06,abn2,2-2-OTHER,商户确认订单后，运力接单前__运单被退回商户（其他标品）,315,0.570610825,0.005747837
